1 2 -1 0.93451 2.3828 0 59.3487 18 1200 350 2 1
2 2 -1 0.081743 2.4272 0 53.8563 18 1200 350 1 1
3 3 -1 0.61634 2.1043 0 53.686 18 1200 350 2 2
4 2 -1 1.3484 1.3742 0 54.6447 18 1200 350 2 2
5 1 -1 0.6714 1.9555 0 53.3943 18 1200 350 2 1
6 2 -1 0.58707 1.8573 0 53.7082 18 1200 350 1 1
7 2 -1 0.38502 2.3289 0 53.3104 18 1200 350 1 2
8 2 -1 1.0781 1.8189 0 54.5744 18 1200 350 2 4
9 1 -1 0.5815 1.8082 0 56.1369 18 1200 350 1 3
10 1 -1 0.76405 1.861 0 53.4111 18 1200 350 2 3
11 3 -1 0.74901 2.1727 0 53.5455 18 1200 350 2 1
12 1 -1 0.90189 2.2567 0 55.0921 18 1200 350 2 4
13 2 -1 0.55807 2.2997 0 52.2426 18 1200 350 2 2
14 2 -1 0.21462 2.0039 0 54.6122 18 1200 350 1 2
15 2 -1 0.5165 2.8573 0 52.8082 18 1200 350 2 4
16 1 -1 1.2901 1.6812 0 53.8882 18 1200 350 2 3
17 1 -1 0.37201 2.1745 0 52.4303 18 1200 350 1 2
18 2 -1 0.57125 2.0796 0 52.978 18 1200 300 2 4
19 2 -1 0.41317 1.677 0 51.386 18 1200 300 1 3
20 2 -1 0.084822 2.3758 0 52.4875 18 1200 300 1 4
21 3 -1 0.64443 1.6873 0 51.8986 18 1200 300 2 1
22 2 -1 0.5165 2.8573 0 52.0976 18 1200 300 2 2
23 3 -1 1.0171 1.6099 0 51.5431 18 1200 300 2 1
24 3 -1 0.95888 1.7011 0 53.3624 18 1200 300 2 1
25 3 -1 0.62188 1.877 0 52.3943 18 1200 300 2 2
26 3 -1 0.18503 1.8202 0 52.1091 18 1200 300 1 2
27 3 -1 0.61462 1.8918 0 50.7249 18 1200 300 1 3
28 1 -1 0.34651 2.0929 0 51.2108 18 1200 300 1 4
29 3 -1 1.3209 1.3906 0 53.4253 18 1200 300 2 2
30 3 -1 0.88449 1.7974 0 52.1236 18 1200 300 1 1
31 1 -1 1.0107 1.6437 0 51.9044 18 1200 300 2 1
32 1 -1 0.90065 1.901 0 52.226 18 1200 300 2 4
33 2 -1 1.1595 2.133 0 51.502 18 1200 300 2 2
34 3 -1 0.977 2.3173 0 51.0421 18 1200 300 1 4
35 3 -1 0.52831 2.5664 0 51.1388 18 1200 300 2 2
36 1 -1 0.9203 2.6362 0 50.9071 18 1200 300 2 4
37 2 -1 0.52807 2.5625 0 51.1709 18 1200 300 2 2
38 3 -1 1.2203 1.5983 0 53.0613 18 1200 300 2 1
39 2 -1 0.43284 2.2032 0 51.4376 18 1200 300 1 1
40 1 -1 0.10269 2.2135 0 52.3745 18 1200 300 1 2
41 1 -1 0.21534 1.8507 0 50.6981 18 1200 300 1 3
42 2 -1 0.066161 2.8086 0 51.3874 18 1200 300 1 4
43 3 -1 0.88851 2.0282 0 50.7253 18 1200 300 1 3
44 1 -1 0.71431 2.4053 0 51.4139 18 1200 300 1 1
45 1 -1 0.75065 2.4565 0 50.6031 18 1200 300 2 1
46 1 -1 1.1111 1.6477 0 51.0757 18 1200 300 2 4
47 1 -1 1.2902 1.4315 0 50.4753 18 1200 300 2 4
48 1 -1 0.94939 1.6892 0 50.3711 18 1200 300 2 1
49 2 -1 0.74743 1.8782 0 50.8349 18 1200 300 2 1
50 2 -1 0.87215 1.9149 0 51.0566 18 1200 300 1 4
51 1 -1 0.52985 2.5272 0 51.6231 18 1200 300 2 2
52 1 -1 1.2351 1.9047 0 51.6216 18 1200 300 2 4
53 2 -1 0.66988 1.9932 0 50.3576 18 1200 300 1 2
54 2 -1 0.58476 2.3122 0 50.429 18 1200 300 1 2
55 3 -1 0.58304 2.0909 0 51.4776 18 1200 300 2 3
56 2 -1 0.1586 2.2023 0 52.0083 18 1200 300 1 2
57 2 -1 1.1712 2.7972 0 51.0906 18 1200 300 2 1
58 3 -1 1.1063 2.1813 0 51.6013 18 1200 300 2 1
59 3 -1 0.73775 2.2874 0 50.7702 18 1200 300 1 2
60 1 -1 0.52894 2.5748 0 51.5998 18 1200 300 2 2
61 2 -1 0.066161 2.8086 0 50.503 18 1200 300 1 1
62 1 -1 0.32651 2.0346 0 50.3782 18 1200 300 1 1
63 1 -1 0.70623 1.8016 0 52.3176 18 1200 300 2 3
64 1 -1 0.75917 1.9839 0 51.6804 18 1200 300 1 1
65 2 -1 0.57837 1.88 0 52.3977 18 1200 300 2 3
66 3 -1 0.82766 2.2814 0 51.1355 18 1200 300 2 1
67 3 -1 1.051 1.995 0 50.8949 18 1200 300 1 3
68 3 -1 0.54264 2.5339 0 50.3968 18 1200 300 2 2
69 3 -1 0.23525 1.7223 0 50.7594 18 1200 300 1 2
70 3 -1 1.109 1.704 0 50.8896 18 1200 300 2 3
71 3 -1 0.36871 2.2656 0 51.1045 18 1200 300 1 4
72 1 -1 1.0508 1.995 0 51.652 18 1200 300 1 4
73 1 -1 0.84951 1.7986 0 50.7146 18 1200 300 1 3
74 1 -1 0.099545 2.2495 0 52.7828 18 1200 300 1 2
75 1 -1 0.75295 1.9982 0 50.6384 18 1200 300 1 1
76 2 -1 0.47251 1.7263 0 51.4627 18 1200 300 1 2
77 2 -1 0.59477 2.141 0 51.252 18 1200 300 1 3
78 1 -1 1.0145 2.0778 0 53.4437 18 1200 300 2 4
79 2 -1 0.1328 1.9072 0 51.0044 18 1200 300 1 3
80 3 -1 0.72053 1.865 0 52.7748 18 1200 300 1 1
81 1 -1 1.0806 1.6626 0 50.5414 18 1200 300 2 1
82 3 -1 0.94686 1.6857 0 50.5388 18 1200 300 2 3
83 1 -1 0.35676 1.7578 0 51.2572 18 1200 300 1 4
84 2 -1 1.0487 1.6931 0 51.4903 18 1200 300 2 3
85 3 -1 1.242 1.8763 0 53.9454 18 1200 300 1 3
86 2 -1 1.0951 1.638 0 50.7225 18 1200 300 1 1
87 3 -1 1.1822 1.4991 0 50.7323 18 1200 300 1 4
88 2 -1 0.63071 1.6403 0 51.9392 18 1200 300 1 2
89 2 -1 0.74193 2.1967 0 50.6982 18 1200 300 1 2
90 3 -1 0.59323 2.2613 0 51.1558 18 1200 300 2 3
91 3 -1 1.3746 2.1489 0 51.886 18 1200 300 2 2
92 2 -1 0.809 1.777 0 51.4586 18 1200 300 1 3
93 3 -1 1.0574 1.5941 0 53.1561 18 1200 300 1 4
94 3 -1 0.52844 2.5685 0 51.725 18 1200 300 2 2
95 3 -1 0.65087 2.0584 0 51.4179 18 1200 300 2 3
96 2 -1 0.8968 1.5078 0 50.7047 18 1200 300 2 3
97 2 -1 1.1888 1.6903 0 50.1377 18 1200 300 2 1
98 3 -1 0.74074 2.2515 0 50.4369 18 1200 300 1 2
99 3 -1 1.2784 2.1059 0 50.0424 18 1200 300 2 4
100 1 -1 1.0944 2.2087 0 51.5456 18 1200 300 1 4
101 2 -1 1.3147 1.6907 0 50.4191 18 1200 300 2 4
102 2 -1 0.50455 2.8086 0 50.7451 18 1200 300 1 1
103 3 -1 0.57928 1.8548 0 51.7743 18 1200 300 2 3
104 3 -1 0.55091 2.2588 0 51.5128 18 1200 300 2 3
105 1 -1 0.58765 2.0688 0 50.4231 18 1200 300 2 3
106 2 -1 1.3432 2.8581 0 52.0696 18 1200 300 2 1
107 1 -1 1.2763 2.1129 0 50.493 18 1200 300 2 1
108 1 -1 0.11217 2.0094 0 51.9296 18 1200 300 1 4
109 1 -1 0.62445 1.6484 0 51.1247 18 1200 300 1 2
110 3 -1 1.0183 2.2054 0 50.9853 18 1200 300 2 4
111 3 -1 1.0608 1.9039 0 50.4181 18 1200 300 2 1
112 3 -1 0.57988 1.8651 0 50.4508 18 1200 300 1 1
113 1 -1 0.40704 2.1463 0 50.7416 18 1200 300 1 3
114 3 -1 0.43725 2.3689 0 51.8871 18 1200 300 1 3
115 2 -1 1.0776 2.1927 0 50.8352 18 1200 300 2 3
116 1 -1 1.1092 1.7807 0 49.9628 18 1200 300 2 3
117 3 -1 0.56679 2.1301 0 52.0312 18 1200 300 1 3
118 1 -1 0.81558 1.6704 0 51.1873 18 1200 300 1 1
119 1 -1 1.1306 2.3884 0 50.2037 18 1200 300 2 1
120 2 -1 0.93801 2.203 0 51.4592 18 1200 300 1 4
121 1 -1 0.77685 1.8124 0 50.4235 18 1200 300 2 4
122 1 -1 1.1489 2.3402 0 50.2887 18 1200 300 2 3
123 2 -1 0.32879 1.9985 0 51.1699 18 1200 300 1 3
124 3 -1 1.0011 1.9086 0 50.2427 18 1200 300 2 4
125 2 -1 0.34384 2.0448 0 50.707 18 1200 300 1 4
126 3 -1 0.8172 1.9081 0 50.4557 18 1200 300 2 4
127 2 -1 0.57625 2.0247 0 51.1873 18 1200 300 2 1
128 2 -1 0.54572 2.395 0 50.8734 18 1200 300 2 2
129 2 -1 0.5165 2.8573 0 50.3467 18 1200 300 2 2
130 2 -1 1.2041 1.9886 0 53.4737 18 1200 300 2 2
131 3 -1 0.67729 1.5866 0 51.2346 18 1200 300 1 1
132 3 -1 0.34594 2.0966 0 51.4108 18 1200 300 1 1
133 3 -1 0.33263 1.7245 0 53.626 18 1200 300 1 3
134 1 -1 0.3289 1.9823 0 50.8425 18 1200 300 1 1
135 1 -1 0.7098 1.8717 0 51.0278 18 1200 300 2 1
136 2 -1 0.95756 1.6219 0 50.974 18 1200 300 1 4
137 2 -1 0.68144 2.0409 0 50.1202 18 1200 300 2 1
138 1 -1 1.397 2.4445 0 51.5895 18 1200 300 2 2
139 3 -1 1.2451 2.6805 0 50.1816 18 1200 300 2 3
140 2 -1 0.51183 2.1849 0 50.8471 18 1200 300 1 2
141 3 -1 0.62626 2.1707 0 51.0293 18 1200 300 2 3
142 1 -1 0.66902 2.0386 0 49.8541 18 1200 300 2 2
143 3 -1 1.4011 2.3688 0 51.2156 18 1200 300 2 2
144 2 -1 1.2362 3.0279 0 50.745 18 1200 300 2 4
145 1 -1 1.0701 2.0366 0 50.5473 18 1200 300 2 2
146 3 -1 0.93778 3.1458 0 51.0727 18 1200 300 2 4
147 1 -1 0.41294 1.8371 0 50.7529 18 1200 300 1 3
148 3 -1 0.7801 2.0348 0 50.95 18 1200 300 2 1
149 1 -1 1.0022 2.0991 0 50.9785 18 1200 300 2 2
150 3 -1 0.50122 2.0172 0 50.7236 18 1200 300 1 2
151 2 -1 1.0104 1.7384 0 51.2471 18 1200 300 1 3
152 2 -1 1.2001 2.1638 0 50.1994 18 1200 300 2 1
153 1 -1 0.90647 2.0769 0 50.6526 18 1200 300 1 4
154 2 -1 0.52013 2.4272 0 50.0585 18 1200 300 1 1
155 2 -1 1.0097 2.2874 0 49.7788 18 1200 300 1 2
156 3 -1 0.10371 2.2122 0 50.9488 18 1200 300 1 1
157 2 -1 0.90831 1.7375 0 50.564 18 1200 300 1 3
158 2 -1 1.3382 2.6095 0 50.372 18 1200 300 2 4
159 3 -1 0.14851 2.2321 0 51.3965 18 1200 300 1 1
160 3 -1 1.1979 2.06 0 50.5064 18 1200 300 2 3
161 1 -1 0.81222 2.5864 0 50.0392 18 1200 300 2 1
162 1 -1 0.672 1.7629 0 50.9549 18 1200 300 2 2
163 3 -1 1.2136 1.6161 0 50.8104 18 1200 300 2 4
164 1 -1 1.227 3.1268 0 50.2339 18 1200 300 2 3
165 3 -1 1.0261 1.8301 0 50.8316 18 1200 300 1 4
166 2 -1 1.2458 2.2729 0 51.1205 18 1200 300 2 2
